file,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,title,severity,vulnerable,version
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/StrutsMockServletContext.java,class,3,4,1,3,29,1,0,5,354,0.9071428,0.031746034,0.031746034,28,0,28,0,0,0,28,0,0,0,5,0,0,0,0,5,0,0,2,91,20,0,1,0,0,0,2,5,0,5,1,0,0,0,55,1,0,0,0,0.0,2.3.20
xwork-core/src/test/java/com/opensymphony/xwork2/config/providers/XmlConfigurationProviderInterceptorsSpringTest.java,class,9,9,0,9,2,4,0,14,0,0.5,1.0,1.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,0,3,0,0,0,22,0,0,0,0,0,6,1,8,0,8,0,0,0,0,58,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/jsp/ui/CheckboxListTag.java,class,6,7,1,6,1,7,0,0,0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,22,1,0,0,0,0.0,2.3.20
plugins/portlet/src/main/java/org/apache/struts2/portlet/dispatcher/DirectRenderFromEventAction.java,class,2,4,2,2,3,1,0,1,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,13,2,0,0,0,0,0,1,3,0,2,0,0,0,0,80,1,0,0,0,0.0,2.3.20
apps/blank/src/main/java/example/Login.java,class,2,3,1,2,6,3,0,0,3,0.5,0.13333334,0.13333334,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,4,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1,0,0,0,0.0,2.3.20
xwork-core/src/test/java/com/opensymphony/xwork2/util/ClassLoaderUtilTest.java,class,4,5,1,4,7,2,0,14,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,0,0,16,0,14,0,12,0,2,0,0,32,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/util/Timer.java,class,0,0,0,0,2,1,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,3,13,2,0,0,0,0,0,0,5,2,4,0,0,0,0,18,1,0,0,0,0.0,2.3.20
plugins/oval/src/test/java/org/apache/struts2/oval/interceptor/MemberObject.java,class,3,4,1,3,1,2,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,0.0,2.3.20
plugins/dojo/src/main/java/org/apache/struts2/dojo/components/Head.java,class,7,10,3,7,21,2,0,9,60,0.85470086,0.115384616,0.46153846,13,0,12,0,1,0,13,0,0,0,9,2,2,7,0,0,2,0,1,68,3,0,8,0,0,33,0,11,1,11,1,0,0,0,272,1,0,0,0,0.0,2.3.20
plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/CommonAttributesHandler.java,class,2,3,1,2,1,2,0,4,0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0,0,0,0.0,2.3.20
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/BindTest.java,class,6,7,1,6,1,3,0,26,0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,22,0,2,0,2,0,0,0,0,15,1,0,0,0,0.0,2.3.20
apps/blank/src/test/java/example/LoginTest.java,class,3,3,0,3,3,3,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,11,0,6,0,6,0,0,0,0,27,1,0,0,0,0.0,2.3.20
plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/xmlparser/XMLString.java,class,2,5,3,2,18,1,1,4,0,0.22222222,0.41666666,0.41666666,9,0,9,0,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,57,9,2,6,0,0,1,5,8,3,5,2,0,0,0,101,1,0,0,0,0.0,2.3.20
plugins/convention/src/main/java/org/apache/struts2/convention/PackageBasedActionConfigBuilder.java,class,42,46,4,42,208,1,0,162,770,0.9370369,0.10299003,0.48394242,45,0,22,2,21,0,43,0,0,0,30,3,0,30,0,0,10,0,14,592,28,25,56,4,7,100,16,150,22,118,6,3,0,0,423,1,25,0,0,0.0,2.3.20
core/src/test/java/org/apache/struts2/components/template/BaseTemplateEngineTest.java,class,5,5,0,5,4,3,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,13,2,9,3,9,0,0,1,0,40,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/velocity/components/RadioDirective.java,class,6,7,1,6,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0.0,2.3.20
core/src/test/java/org/apache/struts2/config/TestSettings.java,class,2,3,1,2,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,2,0,1,0,1,0,0,0,0,28,1,0,0,0,0.0,2.3.20
plugins/json/src/test/java/org/apache/struts2/json/JSONInterceptorTest.java,class,17,19,2,17,23,2,0,71,8,0.46666667,0.43137255,0.43137255,20,0,17,2,1,0,18,0,0,0,3,0,0,3,0,0,0,0,10,311,0,0,0,3,0,94,69,61,0,56,1,0,0,0,106,1,0,0,0,0.0,2.3.20
plugins/plexus/src/main/java/org/apache/struts2/plexus/PlexusThreadLocal.java,class,1,3,2,1,2,1,0,2,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0,0,0,0.0,2.3.20
plugins/dojo/src/main/java/org/apache/struts2/dojo/components/AbstractValidateBean.java,class,6,10,4,6,7,3,2,5,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,20,0,0,3,0,0,9,0,3,0,3,1,0,0,0,47,1025,0,0,0,0.0,2.3.20
apps/showcase/src/main/java/org/apache/struts2/showcase/xslt/JVMAction.java,class,3,3,0,3,7,1,0,3,7,0.61904764,0.33333334,0.52380955,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,2,50,4,0,0,0,0,1,0,7,0,5,0,0,1,0,31,1,0,0,0,0.0,2.3.20
core/src/test/java/org/apache/struts2/views/jsp/IteratorTagTest.java,class,8,9,1,8,51,6,0,47,0,0.027777778,0.9411765,0.9411765,36,0,32,2,2,0,34,0,0,0,1,0,0,0,0,1,0,0,1,573,0,1,1,14,0,239,46,82,0,57,1,0,2,0,69,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/components/Label.java,class,7,10,3,7,10,3,0,8,4,0.625,0.16666667,0.16666667,4,0,2,0,2,0,4,0,0,0,2,1,1,0,1,0,1,0,0,33,1,0,6,0,0,10,1,5,0,5,2,0,0,0,101,1,0,0,0,0.0,2.3.20
plugins/embeddedjsp/src/test/java/org/apache/struts2/EmbeddedJSPResultTest.java,class,25,25,0,25,21,2,0,41,0,0.5416667,0.78431374,0.78431374,18,0,17,0,1,0,18,0,0,0,4,0,0,4,0,0,0,0,0,166,0,2,0,1,0,35,5,31,2,31,1,1,0,0,124,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/xslt/ProxyAttrAdapter.java,class,9,11,2,9,10,3,0,7,45,0.0,0.0,0.0,10,0,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,1,0,0,1,0,0,0,0,0,56,1,0,0,0,0.0,2.3.20
core/src/test/java/org/apache/struts2/views/jsp/ui/StrutsBodyContent.java,class,4,8,4,4,29,2,0,23,166,0.44827586,0.2955665,0.2955665,29,0,29,0,0,0,29,0,0,0,1,0,0,1,0,0,0,0,0,99,3,0,0,0,0,1,1,3,0,1,0,0,0,0,56,1,0,0,0,0.0,2.3.20
plugins/rest/src/test/java/org/apache/struts2/rest/DefaultContentTypeHandlerManagerTest.java,class,5,5,0,5,3,2,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,9,0,9,0,0,0,0,35,1,0,0,0,0.0,2.3.20
apps/showcase/src/main/java/org/apache/struts2/showcase/chat/DateConverter.java,class,3,4,1,3,7,2,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,22,4,0,1,1,0,4,6,3,1,3,2,0,0,0,28,1,1,0,0,0.0,2.3.20
xwork-core/src/test/java/com/opensymphony/xwork2/util/URLUtilTest.java,class,4,4,0,4,10,2,0,8,0,0.11111111,0.7777778,0.7777778,9,0,8,0,1,0,9,0,0,0,1,0,0,1,0,0,0,0,9,115,0,0,0,1,0,48,0,43,0,15,1,1,0,0,45,1,0,0,0,0.0,2.3.20
xwork-core/src/test/java/com/opensymphony/xwork2/test/User.java,class,1,5,4,1,12,1,0,0,50,0.8194444,0.121212125,0.15151516,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,21,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/freemarker/tags/UpDownSelectModel.java,class,6,7,1,6,2,2,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/config/DelegatingSettings.java,class,2,3,1,2,13,1,0,7,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,47,5,4,3,1,1,0,0,9,0,7,3,0,0,0,65,0,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/velocity/components/PushDirective.java,class,6,7,1,6,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0,0,0,0.0,2.3.20
