file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
apache-tomcat-10.0.4-src/java/jakarta/el/StandardELContext.java,java/jakarta/el/StandardELContext.java,17,12,5,8,4,0.44444445,1.0,9,0,8,0,0,1,9,0,0,0,6,0,0,6,0,0,6,0,0,128,6,0,3,0,0,0,0,12,0,7,1,0,3,0,39,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/StaticFieldELResolver.java,java/jakarta/el/StaticFieldELResolver.java,9,34,2,26,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,125,10,0,3,4,4,5,0,30,0,26,3,0,0,0,62,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/TypeConverter.java,java/jakarta/el/TypeConverter.java,2,7,2,0,21,0.0,0.0,7,0,7,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/Util.java,java/jakarta/el/Util.java,11,124,3,74,89,0.0,0.0,14,14,0,5,0,9,9,0,1,0,4,4,0,4,0,0,4,0,40,572,26,15,59,6,7,13,25,113,9,64,7,0,7,0,164,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/ValueExpression.java,java/jakarta/el/ValueExpression.java,3,6,2,3,15,0.0,0.0,6,0,6,0,0,0,6,5,0,0,1,1,0,1,0,0,1,0,0,13,1,0,0,0,0,0,1,1,0,1,0,0,0,0,72,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/ValueReference.java,java/jakarta/el/ValueReference.java,0,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,3,0,0,15,2,0,0,0,0,0,1,3,0,3,0,0,0,0,17,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/VariableMapper.java,java/jakarta/el/VariableMapper.java,1,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/mail/Authenticator.java,java/jakarta/mail/Authenticator.java,1,1,1,0,0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/mail/internet/InternetAddress.java,java/jakarta/mail/internet/InternetAddress.java,0,1,1,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/mail/internet/MimeMessage.java,java/jakarta/mail/internet/MimeMessage.java,3,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,10,0,0,0.0
